Topic,Count,Name,Representation,KeyBERT,OpenAI,Representative_Docs,Words
0,1425,0_treatment_managed_followup_modification,"['treatment', 'managed', 'followup', 'modification', 'conducted', 'conducted patient', 'improved', 'improved treatment', 'treatment modification', 'scheduled']","['dose modification', 'treatment modification', 'treatment plan', 'improved treatment', 'treatment', 'supportive care', 'treatment response', 'therapy patients', 'patients', 'conducted patient']",['Supportive Care Management'],"['requiring supportive care and dose modification', 'requiring supportive care and dose modification', 'requiring supportive care and dose modification']","['treatment', 'managed', 'followup', 'modification', 'conducted', 'conducted patient', 'improved', 'improved treatment', 'treatment modification', 'scheduled']"
1,1408,1_tumor_therapy_recommended_surgical,"['tumor', 'therapy', 'recommended', 'surgical', 'metastases', 'pain', 'cancer', 'radiation therapy', 'radiation', 'administered']","['radiation therapy', 'surgery radiation', 'prostate cancer', 'metastases', 'prostate', 'radiation', 'chemoradiation', 'bone', 'chemotherapy', 'pain']",['Radiation therapy for bone metastases'],"['Radiation therapy was administered for pain control in a patient with bone metastases from prostate cancer', 'Radiation therapy was administered for pain control in a patient with bone metastases from prostate cancer', 'Radiation therapy was administered for pain control in a patient with bone metastases from prostate cancer']","['tumor', 'therapy', 'recommended', 'surgical', 'metastases', 'pain', 'cancer', 'radiation therapy', 'radiation', 'administered']"
2,1151,2_biopsy_size_serial ct_initial,"['biopsy', 'size', 'serial ct', 'initial', 'ct', 'ct scans', 'reduction', 'demonstrated', 'prompting', 'serial']","['metastases', 'ct scans', 'serial ct', 'liver', 'tumor', 'confirmed adenocarcinoma', 'adenocarcinoma', 'biopsy confirmed', 'subsequent biopsy', 'biopsy']",['Reduction of liver metastases'],"['Serial CT scans demonstrated a reduction in the size of liver metastases', 'Serial CT scans demonstrated a reduction in the size of liver metastases', 'Serial CT scans demonstrated a reduction in the size of liver metastases']","['biopsy', 'size', 'serial ct', 'initial', 'ct', 'ct scans', 'reduction', 'demonstrated', 'prompting', 'serial']"
3,865,3_consistent_acute_leukemia_consistent acute,"['consistent', 'acute', 'leukemia', 'consistent acute', 'indicating', 'hodgkin', 'myeloid leukemia', 'myeloid', 'acute myeloid', 'hodgkin lymphoma']","['myeloid leukemia', 'acute myeloid', 'leukemia', 'myeloid', 'consistent acute', 'marrow biopsy', 'marrow', 'bone marrow', 'acute', 'lymphoma']",['Acute Myeloid Leukemia'],"['consistent with acute myeloid leukemia', 'consistent with acute myeloid leukemia', 'consistent with acute myeloid leukemia']","['consistent', 'acute', 'leukemia', 'consistent acute', 'indicating', 'hodgkin', 'myeloid leukemia', 'myeloid', 'acute myeloid', 'hodgkin lymphoma']"
4,777,4_response_positive_blood_therapy,"['response', 'positive', 'blood', 'therapy', 'targeted', 'targeted therapy', 'indicating', 'factor', 'factor support', 'risk']","['targeted therapy', 'therapy', 'therapy patients', 'favorable response', 'treatment', 'treatment plan', 'radiation therapy', 'immunotherapy', 'targeted', 'response']",['Positive Response to Targeted Therapy'],"['indicating a positive response to targeted therapy', 'indicating a positive response to targeted therapy', 'indicating a positive response to targeted therapy']","['response', 'positive', 'blood', 'therapy', 'targeted', 'targeted therapy', 'indicating', 'factor', 'factor support', 'risk']"
5,768,5_chemotherapy_chemotherapy patient_grade_patient,"['chemotherapy', 'chemotherapy patient', 'grade', 'patient', 'anemia', 'concerns potential', 'developed grade', 'developed', 'chemotherapy patients', 'ecog']","['oncology', 'result chemotherapy', 'chemotherapy patients', 'chemotherapy patient', 'chemotherapy', 'stable treatment', 'ecog performance', 'treatment course', 'patient developed', 'ecog']",['ECOG performance status in chemotherapy'],"[""The patient's Eastern Cooperative Oncology Group (ECOG) performance status remained stable at 2 throughout the treatment course"", ""The patient's Eastern Cooperative Oncology Group (ECOG) performance status remained stable at 2 throughout the treatment course"", ""The patient's Eastern Cooperative Oncology Group (ECOG) performance status remained stable at 2 throughout the treatment course""]","['chemotherapy', 'chemotherapy patient', 'grade', 'patient', 'anemia', 'concerns potential', 'developed grade', 'developed', 'chemotherapy patients', 'ecog']"
6,672,6_genetic_testing_mutation_genetic testing,"['genetic', 'testing', 'mutation', 'genetic testing', 'family history', 'family', 'history', 'identified', 'recommended', 'revealed']","['breast cancer', 'genetic testing', 'mutation', 'genetic', 'patients family', 'cancer', 'breast', 'ovarian cancer', 'family history', 'patients']",['Genetic Testing for BRCA Mutations'],"[""Genetic counseling and testing for BRCA mutations were recommended due to the patient's family history of breast cancer"", ""Genetic counseling and testing for BRCA mutations were recommended due to the patient's family history of breast cancer"", ""Genetic counseling and testing for BRCA mutations were recommended due to the patient's family history of breast cancer""]","['genetic', 'testing', 'mutation', 'genetic testing', 'family history', 'family', 'history', 'identified', 'recommended', 'revealed']"
7,612,7_breast cancer_cancer_breast_including,"['breast cancer', 'cancer', 'breast', 'including', 'ii including', 'determined stage', 'cancer determined', 'staging', 'staging breast', 'determined']","['staging breast', 'breast cancer', 'stage ii', 'cancer determined', 'staging', 'determined stage', 'stage', 'cancer', 'breast', 'oncology']",['Breast Cancer Stage II'],"['The staging of the breast cancer was determined as stage II', 'The staging of the breast cancer was determined as stage II', 'The staging of the breast cancer was determined as stage II']","['breast cancer', 'cancer', 'breast', 'including', 'ii including', 'determined stage', 'cancer determined', 'staging', 'staging breast', 'determined']"
8,576,8_disease_control_nature_patients prognosis,"['disease', 'control', 'nature', 'patients prognosis', 'prognosis', 'response', 'stage aggressive', 'guarded', 'treatment response', 'patient expressed']","['patients prognosis', 'prognosis', 'treatment patient', 'patients', 'disease', 'patient expressed', 'patient', 'treatment', 'guarded advanced', 'stage aggressive']",['Prognosis of advanced disease'],"[""the patient's prognosis remains guarded due to the advanced stage and aggressive nature of the disease"", ""the patient's prognosis remains guarded due to the advanced stage and aggressive nature of the disease"", ""the patient's prognosis remains guarded due to the advanced stage and aggressive nature of the disease""]","['disease', 'control', 'nature', 'patients prognosis', 'prognosis', 'response', 'stage aggressive', 'guarded', 'treatment response', 'patient expressed']"
9,576,9_presented_patient presented_treatment patient_patient,"['presented', 'patient presented', 'treatment patient', 'patient', 'significant', 'anemia', 'complete', 'persistent', 'course treatment', 'blood']","['patient reported', 'patient presented', 'patients', 'treatment patient', 'patient', 'treatment', 'metabolic', 'anemia', 'course treatment', 'performance status']",['Fatigue and Weight Loss'],"['The patient presented with a chief complaint of persistent fatigue and unexplained weight loss over the past three months', 'The patient presented with a chief complaint of persistent fatigue and unexplained weight loss over the past three months', 'The patient presented with a chief complaint of persistent fatigue and unexplained weight loss over the past three months']","['presented', 'patient presented', 'treatment patient', 'patient', 'significant', 'anemia', 'complete', 'persistent', 'course treatment', 'blood']"
10,569,10_brain_brain metastases_mri scans_indicated,"['brain', 'brain metastases', 'mri scans', 'indicated', 'cancer regular', 'lesions', 'scans', 'mri', 'stable', 'regular']","['brain metastases', 'metastases', 'regular mri', 'mri', 'mri scans', 'metastatic', 'lesions', 'cancer regular', 'cancer', 'prostate cancer']",['Stable brain metastases on MRI'],"['Regular MRI scans indicated stable disease in the brain metastases', 'Regular MRI scans indicated stable disease in the brain metastases', 'Regular MRI scans indicated stable disease in the brain metastases']","['brain', 'brain metastases', 'mri scans', 'indicated', 'cancer regular', 'lesions', 'scans', 'mri', 'stable', 'regular']"
11,384,11_lymphoma patients_results_raising concerns_raising,"['lymphoma patients', 'results', 'raising concerns', 'raising', 'possible', 'patients family', 'pathology results', 'pathology', 'family', 'indicated']","['lymphoma', 'lymphoma patients', 'carcinoma', 'tumor', 'pathology results', 'pathology', 'cell', 'revealed', 'evidence', 'genetic']",['Squamous Cell Carcinoma'],"['Pathology results revealed squamous cell carcinoma with evidence of lymphovascular invasion', 'Pathology results revealed squamous cell carcinoma with evidence of lymphovascular invasion', 'Pathology results revealed squamous cell carcinoma with evidence of lymphovascular invasion']","['lymphoma patients', 'results', 'raising concerns', 'raising', 'possible', 'patients family', 'pathology results', 'pathology', 'family', 'indicated']"
12,384,12_marrow_bone marrow_hypercellularity_bone,"['marrow', 'bone marrow', 'hypercellularity', 'bone', 'showed', 'decrease', 'metabolic activity', 'myeloid', 'myeloid leukemia', 'examination']","['hypercellularity', 'bone marrow', 'marrow', 'myeloid leukemia', 'myeloid', 'acute myeloid', 'leukemia', 'bone', 'lymph nodes', 'metabolic']",['Hypercellular Myeloid Leukemia'],"['A bone marrow aspirate showed hypercellularity with 20% blasts', 'A bone marrow aspirate showed hypercellularity with 20% blasts', 'A bone marrow aspirate showed hypercellularity with 20% blasts']","['marrow', 'bone marrow', 'hypercellularity', 'bone', 'showed', 'decrease', 'metabolic activity', 'myeloid', 'myeloid leukemia', 'examination']"
13,384,13_overall___,"['overall', '', '', '', '', '', '', '', '', '']","['overall', '', '', '', '', '', '', '', '', '']",['Overall Analysis'],"['Overall', 'Overall', 'Overall']","['overall', '', '', '', '', '', '', '', '', '']"
14,384,14_grade_reported grade_reported_patient reported,"['grade', 'reported grade', 'reported', 'patient reported', 'patient', 'developed', 'result', 'persistent', 'patient developed', 'developed grade']","['patient presented', 'patient reported', 'patient developed', 'developed grade', 'reported grade', 'grade', 'patient', 'chemotherapy patient', 'result chemotherapy', 'reported']",['Neuropathy grade 2'],"['The patient reported grade 1 neuropathy', 'The patient reported grade 1 neuropathy', 'The patient reported grade 2 neuropathy']","['grade', 'reported grade', 'reported', 'patient reported', 'patient', 'developed', 'result', 'persistent', 'patient developed', 'developed grade']"
15,373,15_mass_studies_right_mass right,"['mass', 'studies', 'right', 'mass right', 'imaging', 'imaging studies', 'cm', 'cm mass', 'lobe', 'upper lobe']","['upper lobe', 'lobe', 'cm mass', 'mass detected', 'mass right', 'imaging studies', 'mass', 'identified cm', 'imaging', 'palpable mass']",['4cm mass in upper lobe'],"['Imaging studies identified a 4 cm mass in the right upper lobe', 'Imaging studies identified a 4 cm mass in the right upper lobe', 'Imaging studies identified a 4 cm mass in the right upper lobe']","['mass', 'studies', 'right', 'mass right', 'imaging', 'imaging studies', 'cm', 'cm mass', 'lobe', 'upper lobe']"
16,288,16_confirmed_carcinoma_biopsy_subtype hodgkin,"['confirmed', 'carcinoma', 'biopsy', 'subtype hodgkin', 'enlarged cervical', 'node revealed', 'nodular', 'revealed nodular', 'sclerosing', 'sclerosing subtype']","['hodgkin lymphoma', 'cervical lymph', 'lymphoma', 'enlarged cervical', 'nodular sclerosing', 'lymph node', 'hodgkin', 'biopsy enlarged', 'biopsy confirmed', 'pathology']",['Nodular Sclerosing Hodgkin Lymphoma'],"['Biopsy of an enlarged cervical lymph node revealed a nodular sclerosing subtype of Hodgkin lymphoma', 'Biopsy of an enlarged cervical lymph node revealed a nodular sclerosing subtype of Hodgkin lymphoma', 'Biopsy of an enlarged cervical lymph node revealed a nodular sclerosing subtype of Hodgkin lymphoma']","['confirmed', 'carcinoma', 'biopsy', 'subtype hodgkin', 'enlarged cervical', 'node revealed', 'nodular', 'revealed nodular', 'sclerosing', 'sclerosing subtype']"
17,288,17____,"['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']",['Digestive Symptoms and Night Sweats'],"['night sweats', 'bloating', 'and changes in bowel habits']","['', '', '', '', '', '', '', '', '', '']"
18,192,18_group_treatment plan_support_plan,"['group', 'treatment plan', 'support', 'plan', 'treatment', '', '', '', '', '']","['treatment plan', 'support', 'treatment', 'group', 'plan', '', '', '', '', '']",['Supportive Treatment Plan'],"['and a referral to a counselor or support group was offered', 'and a referral to a counselor or support group was offered', 'and a referral to a counselor or support group was offered']","['group', 'treatment plan', 'support', 'plan', 'treatment', '', '', '', '', '']"
19,192,19_radiation___,"['radiation', '', '', '', '', '', '', '', '', '']","['radiation', '', '', '', '', '', '', '', '', '']",['radiation'],"['radiation', 'radiation', 'radiation']","['radiation', '', '', '', '', '', '', '', '', '']"
