Run Name,Table,Model,Accuracy,Balanced Accuracy,AUC,F1,Recall,Precision,Specificity,PPV,NPV,TP,TN,FP,FN
CNN_20230214-0927,see_psych,CNN,0.883470833,0.737974524,0.831328273,0.134883717,0.587837815,0.076182134,0.888111174,0.076182137,0.992768228,87.0,8374.0,1055.0,61.0
CNN_20230214-0954,see_psych,CNN,0.883261979,0.697964251,0.787864804,0.118296526,0.506756783,0.066964284,0.88917172,0.066964286,0.991368097,75.0,8384.0,1045.0,73.0
CNN_20230214-1013,see_psych,CNN,0.834917009,0.746569991,0.831963897,0.109295771,0.655405402,0.059618931,0.83773464,0.059618931,0.993584906,97.0,7899.0,1530.0,51.0
CNN_20230214-1048,see_psych,CNN,0.821029544,0.706263781,0.797858357,0.092161015,0.587837815,0.050000001,0.824689806,0.05,0.992216409,87.0,7776.0,1653.0,61.0
CNN_20230214-1108,see_psych,CNN,0.868956864,0.733928978,0.828891933,0.122990914,0.594594598,0.06858924,0.873263359,0.068589244,0.992765855,88.0,8234.0,1195.0,60.0
LSTM_20230214-1139,see_psych,LSTM,0.747415662,0.725410104,0.799205601,0.079177767,0.702702701,0.041952401,0.748117507,0.0419524,0.993801071,104.0,7054.0,2375.0,44.0
LSTM_20230214-1515,see_psych,LSTM,0.746789157,0.725091934,0.785033524,0.078997344,0.702702701,0.041851107,0.747481167,0.041851107,0.993795826,104.0,7048.0,2381.0,44.0
LSTM_20230214-1906,see_psych,LSTM,0.798162282,0.73788023,0.807551742,0.093764648,0.67567569,0.050377835,0.800084829,0.050377834,0.993677555,100.0,7544.0,1885.0,48.0
LSTM_20230214-2324,see_psych,LSTM,0.795029759,0.71301198,0.806033254,0.086551882,0.628378391,0.046476763,0.797645569,0.046476762,0.992740232,93.0,7521.0,1908.0,55.0
LSTM_20230215-0331,see_psych,LSTM,0.714942038,0.735521257,0.803156137,0.075829387,0.756756783,0.03991447,0.714285731,0.039914469,0.994683208,112.0,6735.0,2694.0,36.0
BERT_20230215-0740,see_psych,BERT,0.953116834,0.550545633,0.685490847,0.081799589,0.135135129,0.058651026,0.965956092,0.058651026,0.986141205,20.0,9108.0,321.0,128.0
BERT_20230215-1353,see_psych,BERT,0.869583368,0.674390793,0.737237453,0.100791939,0.472972959,0.056406125,0.875808656,0.056406125,0.990642965,70.0,8258.0,1171.0,78.0
BERT_20230215-1910,see_psych,BERT,0.89526993,0.617603302,0.71534127,0.089009993,0.331081092,0.05141658,0.904125571,0.05141658,0.988520384,49.0,8525.0,904.0,99.0
BERT_20230215-2359,see_psych,BERT,0.863527179,0.631411016,0.708066404,0.081517927,0.391891897,0.045490198,0.870930135,0.045490198,0.989159226,58.0,8212.0,1217.0,90.0
BERT_20230216-0546,see_psych,BERT,0.888900518,0.604392529,0.707317591,0.079584777,0.310810804,0.045634922,0.897974312,0.045634922,0.988096654,46.0,8467.0,962.0,102.0
BoW_20230220-1206,see_psych,BoW,0.876788139,0.684700489,0.783698559,0.108761325,0.486486495,0.06122449,0.882914424,0.06122449,0.990953458,72.0,8325.0,1104.0,76.0
BoW_20230220-1236,see_psych,BoW,0.876788139,0.684700489,0.783698559,0.108761325,0.486486495,0.06122449,0.882914424,0.06122449,0.990953458,72.0,8325.0,1104.0,76.0
BoW_20230220-1246,see_psych,BoW,0.876788139,0.684700489,0.783698559,0.108761325,0.486486495,0.06122449,0.882914424,0.06122449,0.990953458,72.0,8325.0,1104.0,76.0
BoW_20230220-1256,see_psych,BoW,0.876788139,0.684700489,0.783698559,0.108761325,0.486486495,0.06122449,0.882914424,0.06122449,0.990953458,72.0,8325.0,1104.0,76.0
BoW_20230220-1306,see_psych,BoW,0.876788139,0.684700489,0.783698559,0.108761325,0.486486495,0.06122449,0.882914424,0.06122449,0.990953458,72.0,8325.0,1104.0,76.0
BoW_20230220-1516,see_psych,BoW,0.8767881393432617,0.6847004890441895,0.783698558807373,0.1087613254785537,0.4864864945411682,0.061224490404129,0.8829144239425659,0.0612244897959183,0.990953457921676,72.0,8325.0,1104.0,76.0
BoW_20230220-1527,see_psych,BoW,0.8767881393432617,0.6847004890441895,0.783698558807373,0.1087613254785537,0.4864864945411682,0.061224490404129,0.8829144239425659,0.0612244897959183,0.990953457921676,72.0,8325.0,1104.0,76.0
BoW_20230220-1537,see_psych,BoW,0.8767881393432617,0.6847004890441895,0.783698558807373,0.1087613254785537,0.4864864945411682,0.061224490404129,0.8829144239425659,0.0612244897959183,0.990953457921676,72.0,8325.0,1104.0,76.0
BoW_20230220-1547,see_psych,BoW,0.8767881393432617,0.6847004890441895,0.783698558807373,0.1087613254785537,0.4864864945411682,0.061224490404129,0.8829144239425659,0.0612244897959183,0.990953457921676,72.0,8325.0,1104.0,76.0
BoW_20230220-1557,see_psych,BoW,0.8767881393432617,0.6847004890441895,0.783698558807373,0.1087613254785537,0.4864864945411682,0.061224490404129,0.8829144239425659,0.0612244897959183,0.990953457921676,72.0,8325.0,1104.0,76.0
CNN_20230222-2002,see_psych,CNN,0.827398955821991,0.7460774183273315,0.8326575756072998,0.1060032397508621,0.662162184715271,0.0576131679117679,0.8299925923347473,0.0576131687242798,0.9936515997968512,98.0,7826.0,1603.0,50.0
CNN_20230222-2048,see_psych,CNN,0.8522501587867737,0.738745927810669,0.8308446407318115,0.1150719076395034,0.6216216087341309,0.0634045451879501,0.8558701872825623,0.0634045485871812,0.9931085404873248,92.0,8070.0,1359.0,56.0
CNN_20230222-2126,see_psych,CNN,0.8773102164268494,0.7248698472976685,0.8296916484832764,0.1250930875539779,0.5675675868988037,0.0702928900718689,0.8821720480918884,0.0702928870292887,0.9923645907897876,84.0,8318.0,1111.0,64.0
CNN_20230222-2156,see_psych,CNN,0.8105878829956055,0.7375398874282837,0.8334035873413086,0.0975124463438987,0.662162184715271,0.0526315793395042,0.8129175901412964,0.0526315789473684,0.9935191186001296,98.0,7665.0,1764.0,50.0
CNN_20230223-0937,see_psych,CNN,0.8513104319572449,0.7415940165519714,0.8352222442626953,0.1155279427766799,0.6283783912658691,0.0636114925146102,0.8548096418380737,0.0636114911080711,0.993222427603204,93.0,8060.0,1369.0,55.0
LSTM_20230223-1009,see_psych,LSTM,0.7569175958633423,0.7335610389709473,0.8077130317687988,0.0827423185110092,0.7094594836235046,0.0439330525696277,0.7576625347137451,0.0439330543933054,0.9940169750939196,105.0,7144.0,2285.0,43.0
LSTM_20230223-1357,see_psych,LSTM,0.7600501179695129,0.7118743658065796,0.786058247089386,0.0785886123776435,0.662162184715271,0.0417732298374176,0.761586606502533,0.041773231031543,0.99308532706403,98.0,7181.0,2248.0,50.0
LSTM_20230223-1720,see_psych,LSTM,0.8135115504264832,0.7090965509414673,0.788227379322052,0.090631365776062,0.6013513803482056,0.049008809030056,0.8168416619300842,0.0490088105726872,0.9923978868702488,89.0,7702.0,1727.0,59.0
LSTM_20230223-2051,see_psych,LSTM,0.8372141718864441,0.7377605438232422,0.8083615303039551,0.1076130494475364,0.6351351141929626,0.0587867423892021,0.8403860330581665,0.0587867417135709,0.993231386312359,94.0,7924.0,1505.0,54.0
LSTM_20230224-0116,see_psych,LSTM,0.8528766632080078,0.7124612331390381,0.7984746694564819,0.1065313965082168,0.5675675868988037,0.0587823651731014,0.8573549389839172,0.0587823652904128,0.9921453117329406,84.0,8084.0,1345.0,64.0
BERT_20230224-0510,see_psych,BERT,0.8500574231147766,0.6677999496459961,0.7328920364379883,0.0899873226881027,0.4797297418117523,0.0496503487229347,0.8558701872825623,0.0496503487229347,0.9905486702919006,71.0,8070.0,1359.0,77.0
BERT_20230224-0957,see_psych,BERT,0.9246110320091248,0.5992506742477417,0.7096779942512512,0.0974999964237213,0.2635135054588318,0.0598159506916999,0.9349877834320068,0.0598159506916999,0.987787127494812,39.0,8816.0,613.0,109.0
BERT_20230224-1612,see_psych,BERT,0.9397515058517456,0.5736861824989319,0.70909184217453,0.0913385823369026,0.1959459483623504,0.0595482550561428,0.9514264464378356,0.0595482550561428,0.9869086742401124,29.0,8971.0,458.0,119.0
BERT_20230224-2229,see_psych,BERT,0.9589641690254213,0.5368884205818176,0.6379907131195068,0.0709219798445701,0.1013513505458831,0.0545454546809196,0.9724255204200744,0.0545454546809196,0.9857019782066344,15.0,9169.0,260.0,133.0
BERT_20230225-0613,see_psych,BERT,0.8575754165649414,0.6416897773742676,0.7232861518859863,0.0833333358168602,0.4189189076423645,0.0462686568498611,0.8644607067108154,0.0462686568498611,0.989559292793274,62.0,8151.0,1278.0,86.0
